epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,1561,2.52211,1.73915,1.10251,0.65425,0.45135,0.33605,0.12696,2.24751,1.39122,0.91445,0.008119,0.008119,0.008119
59,1588.31,2.57629,1.67111,1.08158,0.63219,0.4033,0.29821,0.09835,2.40602,1.44881,0.93788,0.008086,0.008086,0.008086
60,1615.68,2.60099,1.69121,1.03441,0.65758,0.41607,0.34232,0.14436,2.0392,1.35978,0.89519,0.008053,0.008053,0.008053
61,1643.03,2.48451,1.73179,1.16292,0.40437,0.40213,0.23683,0.07375,2.61788,1.51251,0.95014,0.00802,0.00802,0.00802
62,1670.35,2.59222,1.75784,1.1076,0.65108,0.45507,0.43018,0.16599,2.25635,1.32285,0.90678,0.007987,0.007987,0.007987
63,1697.6,2.62096,1.84251,1.19634,0.44616,0.43272,0.35549,0.12991,2.16365,1.34061,0.91247,0.007954,0.007954,0.007954
64,1725.22,2.53642,1.65153,1.08414,0.44584,0.5214,0.37406,0.1433,2.16555,1.44944,0.899,0.007921,0.007921,0.007921
65,1752.56,2.5003,1.72276,1.12806,0.62081,0.44958,0.33726,0.12666,2.221,1.39152,0.89909,0.007888,0.007888,0.007888
66,1780.01,2.40829,1.77822,1.12178,0.64822,0.40744,0.33883,0.1225,2.10906,1.38613,0.88727,0.007855,0.007855,0.007855
67,1807.5,2.46891,1.73661,1.12705,0.48577,0.47707,0.33245,0.13074,1.99121,1.44239,0.89737,0.007822,0.007822,0.007822
68,1834.93,2.51067,1.62628,1.05617,0.6548,0.44297,0.37164,0.14161,2.10701,1.31419,0.88648,0.007789,0.007789,0.007789
69,1862.32,2.58766,1.59521,1.01211,0.54705,0.31021,0.34958,0.12828,2.17809,1.54133,0.89724,0.007756,0.007756,0.007756
70,1889.7,2.42927,1.56238,1.02294,0.53628,0.4594,0.39113,0.16875,2.03748,1.34735,0.88453,0.007723,0.007723,0.007723
71,1917.08,2.39393,1.61609,1.08021,0.46034,0.45423,0.32193,0.11526,2.36032,1.41575,0.91593,0.00769,0.00769,0.00769
72,1944.69,2.38912,1.60276,1.04977,0.50812,0.57468,0.4771,0.19706,2.17372,1.23141,0.90764,0.007657,0.007657,0.007657
73,1972.08,2.42893,1.5489,1.07702,0.57556,0.46211,0.43719,0.18603,2.24092,1.32857,0.91873,0.007624,0.007624,0.007624
